Year,Division,Horse,OverallPlacing,USDFNumber,OverallScore
2002,FEI5,Rosabella,1,37232,7.840
2002,FEI5,Favereux,2,38714,7.680
2002,FEI5,Devon,3,38984,7.420
2002,FEI5,Welfenstein,4,40474,7.140
2002,FEI5,R-tistik,5,37123,7.100
2002,FEI5,Pampero,6,41386,6.820
2002,FEI6,Oleander,1,35062,8.240
2002,FEI6,Freestyle,2,39380,7.400
2002,FEI6,Wincenzo,3,1026740,7.000
2002,FEI6,Olympus,4,42683,6.860
2003,FEI5,Beemer,1,1003181,8.620
2003,FEI5,Remy Martin,2,47167,8.520
2003,FEI6,Fabrice S,1,42782,8.320
2003,FEI6,Persimmon ISF,2,38459,7.840
2004,FEI5,Royal Prince,1,1016896,9.140
2004,FEI5,Sir Sinclair,2,1015413,8.260
2004,FEI5,Donnervogel,3,1008832,7.900
2004,FEI5,Saint Simon,4,37280,7.460
2004,FEI5,Savanna,5,1013602,7.440
2004,FEI5,Silverado,6,38639,6.900
2004,FEI5,Leiden,7,1016253,6.860
2004,FEI5,Remy Martin,8,1016635,6.780
2004,FEI5,Rossini M,8,1004663,6.780
2004,FEI5,Wylie Q,10,44283,6.700
2004,FEI5,Rubens de Mesille,11,1020047,6.580
2004,FEI5,Superstarr,12,1018249,6.540
2004,FEI5,Ventura,13,40548,6.460
2004,FEI5,Heroico Pequeno,14,1017693,6.440
2004,FEI5,Ferragamma,15,1002537,6.420
2004,FEI5,Commonwealth TRF,16,33840,6.400
2004,FEI5,Finnegan,17,37180,6.220
2004,FEI5,Cacique,18,1007175,5.940
2004,FEI6,Revolution,1,37164,7.480
2004,FEI6,Rykaard,2,43275,7.460
2004,FEI6,Rhythm,3,44257,7.280
2004,FEI6,Romantic,4,1016261,7.240
2004,FEI6,Raison d'Etre,5,40681,7.220
2004,FEI6,Cordobino,6,1018208,6.960
2004,FEI6,Rumor,7,1011616,6.900
2004,FEI6,Rachmaninoff,8,1005052,6.880
2004,FEI6,Rakker,8,1001734,6.880
2004,FEI6,Famos,10,1009049,6.840
2004,FEI6,Pam-A-Lam,11,44357,6.800
2004,FEI6,Favory VI Bellanna,12,1008422,6.740
2004,FEI6,Favory VII Andorella,13,1008421,6.680
2004,FEI6,Cameron de Mesille,14,1001985,6.580
2004,FEI6,Caletino,15,47196,5.800
2005,FEI5,Currency DC,1,1035693,8.356
2005,FEI5,Grand Makana,2,1015161,7.832
2005,FEI5,Brigadier,3,39969,7.620
2005,FEI5,Cash Confetti,4,46742,7.572
2005,FEI5,Wolkenwand,5,1019513,7.444
2005,FEI5,Pacino,6,40947,7.440
2005,FEI5,Catapult,7,1011519,7.348
2005,FEI5,Carreras,8,1039798,7.292
2005,FEI5,Laural,9,44895,7.136
2005,FEI5,Twilight,10,1013083,7.128
2005,FEI5,Carnegie,11,39789,7.116
2005,FEI5,Florian,12,1027982,7.084
2005,FEI5,Double Entendre,13,1023695,6.860
2005,FEI6,Sir Sinclair,1,1015413,8.452
2005,FEI6,Fino,2,1020034,8.236
2005,FEI6,Golden Choice DC,3,1016898,8.220
2005,FEI6,Don Principe,4,1033231,7.872
2005,FEI6,Superman,5,1025218,7.768
2005,FEI6,Savanna,6,1013602,7.580
2005,FEI6,Rossini M,7,1004663,7.572
2005,FEI6,Raphoni-Solyst,8,1034884,7.540
2005,FEI6,Dark Dream,9,1024951,7.192
2005,FEI6,Saint Simmon,10,37280,7.032
2005,FEI6,Staccato,11,38395,6.776
2005,FEI6,Savant,12,1006243,6.680
2005,FEI6,Cacique,13,1007175,6.104
2006,FEI6,Catapult,1,1011519,7.956
2006,FEI6,Brigadier,1,39969,7.956
2006,FEI6,Cobra,3,1038443,7.636
2006,FEI6,Ghambade,4,39135,7.280
2006,FEI6,Tap Dance,5,1045200,7.244
2006,FEI6,Starlight Express,6,1030587,7.196
2006,FEI6,Lullaby,7,1043482,7.016
2006,FEI6,Carnegie,8,39789,6.880
2006,FEI6,Tacolando Triple R,9,1015498,6.8270
2006,FEI6,Twilight,10,1013083,6.616
2006,FEI6,Wolkenwand,11,1019513,6.516
2006,FEI6,Talent,12,1019399,6.256
2006,FEI5,Up to Date,1,43689,8.450
2006,FEI5,Gisele,2,1048833,8.400
2006,FEI5,Roter Milan,3,1037498,7.884
2006,FEI5,Unitas,4,1032242,7.872
2006,FEI5,Harmony's FX,5,1039669,7.832
2006,FEI5,Donnermuth,6,1029497,7.700
2006,FEI5,Donates,7,1019322,7.640
2006,FEI5,Mix Max,8,1025834,7.628
2006,FEI5,Leopold Q,9,1031405,7.520
2006,FEI5,Eeltsje F,10,1044103,7.480
2006,FEI5,Donarweiss GGF,11,41002,7.432
2006,FEI5,Redford,12,1028940,7.348
2006,FEI5,S Infinity,13,1024407,7.00
2006,USEF4,BW-Callista,1,44921,9.000
2006,USEF4,Roccoca WF,2,1047389,8.700
2006,USEF4,Faulkner,3,1044238,8.600
2006,USEF4,Fedora,4,44344,8.060
2006,USEF4,Quno,5,1045522,7.720
2006,USEF4,Froelich,6,45334,7.540
2006,USEF4,Vivaldi-V,7,1041299,7.520
2006,USEF4,Solaris Hit,8,1049161,7.500
2006,USEF4,Calimar,9,47128,7.360
2006,USEF4,Ready or Not,10,1045678,7.300
2006,USEF4,Fivestar,11,1049168,7.240
2006,USEF4,Labadia,12,1049188,7.180
2006,USEF4,Raison de Joie,13,1022443,7.160
2006,USEF4,Last Call,14,1044206,7.100
2006,USEF4,Vega,15,1047877,7.020
2006,USEF4,Flamboyant,16,1021798,6.500
2006,USEF4,V-Frolik,17,1042636,6.420
2007,DHPSG,Don Angelo,1,1043373,70.000
2007,DHPSG,Come On II,2,1043143,68.250
2007,DHPSG,Don Principe,4,1033231,66.919
2007,DHPSG,Sandor,3,1016724,66.917
2007,DHPSG,Farinelli,5,1043152,65.917
2007,DHPSG,D'Artagnan,6,1027759,64.417
2007,DHPSG,Toscano,7,1056132,64.167
